This data is taken from Genge et al. (2017) figure 4.
There are 50 MMs that are fully oxidized (some combination of wustite and magnetite).
There are 34 MMs with iron cores, the fractional area of Fe is shown below (from left to right in figure 4):
Bar0, 0.921200750469043
Bar1, 0.48780487804878053
Bar2, 0.48592870544090055
Bar3, 0.4371482176360226
Bar4, 0.4315196998123828
Bar5, 0.42213883677298303
Bar6, 0.4136960600375234
Bar7, 0.3564727954971858
Bar8, 0.33395872420262657
Bar9, 0.3198874296435273
Bar10, 0.300187617260788
Bar11, 0.28799249530956844
Bar12, 0.27673545966228896
Bar13, 0.2645403377110694
Bar14, 0.21200750469043156
Bar15, 0.21106941838649146
Bar16, 0.1819887429643527
Bar17, 0.1782363977485929
Bar18, 0.17166979362101312
Bar19, 0.17166979362101312
Bar20, 0.16979362101313325
Bar21, 0.12757973733583491
Bar22, 0.12757973733583491
Bar23, 0.10881801125703568
Bar24, 0.1557223264540338
Bar25, 0.26172607879924953
Bar26, 0.05253283302063793
Bar27, 0.39399624765478425
Bar28, 0.4934333958724202
Bar29, 0.28142589118198874
Bar30, 0.39024390243902435
Bar31, 0.07692307692307686
Bar32, 0.19136960600375233
Bar33, 0.020637898686679104
